"","cohort","mcohort","resp.var","cv.fold","family","var.type","metric","non.trivial","value"
"251","ccUSA","ccUSA","group",51,"binomial","BGC","auc",TRUE,0.682692307692308
"252","ccUSA","ccUSA","group",52,"binomial","BGC","auc",TRUE,0.699334319526627
"253","ccUSA","ccUSA","group",53,"binomial","BGC","auc",TRUE,0.711168639053254
"254","ccUSA","ccUSA","group",54,"binomial","BGC","auc",TRUE,0.705621301775148
"255","ccUSA","ccUSA","group",55,"binomial","BGC","auc",TRUE,0.726701183431953
"256","ccUSA","ccUSA","group",56,"binomial","BGC","auc",TRUE,0.691568047337278
"257","ccUSA","ccUSA","group",57,"binomial","BGC","auc",TRUE,0.696745562130177
"258","ccUSA","ccUSA","group",58,"binomial","BGC","auc",TRUE,0.719674556213018
"259","ccUSA","ccUSA","group",59,"binomial","BGC","auc",TRUE,0.698594674556213
"260","ccUSA","ccUSA","group",60,"binomial","BGC","auc",TRUE,0.655325443786982
"261","ccUSA","ccUSA","group",61,"binomial","BGC","auc",TRUE,0.713757396449704
"262","ccUSA","ccUSA","group",62,"binomial","BGC","auc",FALSE,0.5
"263","ccUSA","ccUSA","group",63,"binomial","BGC","auc",TRUE,0.72189349112426
"264","ccUSA","ccUSA","group",64,"binomial","BGC","auc",TRUE,0.730769230769231
"265","ccUSA","ccUSA","group",65,"binomial","BGC","auc",TRUE,0.707840236686391
"266","ccUSA","ccUSA","group",66,"binomial","BGC","auc",TRUE,0.646449704142012
"267","ccUSA","ccUSA","group",67,"binomial","BGC","auc",TRUE,0.660133136094675
"268","ccUSA","ccUSA","group",68,"binomial","BGC","auc",TRUE,0.709319526627219
"269","ccUSA","ccUSA","group",69,"binomial","BGC","auc",FALSE,0.5
"270","ccUSA","ccUSA","group",70,"binomial","BGC","auc",FALSE,0.5
"271","ccUSA","ccUSA","group",71,"binomial","BGC","auc",TRUE,0.707840236686391
"272","ccUSA","ccUSA","group",72,"binomial","BGC","auc",TRUE,0.650147928994083
"273","ccUSA","ccUSA","group",73,"binomial","BGC","auc",TRUE,0.74741124260355
"274","ccUSA","ccUSA","group",74,"binomial","BGC","auc",FALSE,0.5
"275","ccUSA","ccUSA","group",75,"binomial","BGC","auc",TRUE,0.736686390532544
"276","ccUSA","ccUSA","group",76,"binomial","BGC","auc",TRUE,0.638313609467456
"277","ccUSA","ccUSA","group",77,"binomial","BGC","auc",TRUE,0.669748520710059
"278","ccUSA","ccUSA","group",78,"binomial","BGC","auc",TRUE,0.717455621301775
"279","ccUSA","ccUSA","group",79,"binomial","BGC","auc",TRUE,0.732988165680473
"280","ccUSA","ccUSA","group",80,"binomial","BGC","auc",TRUE,0.666420118343195
"281","ccUSA","ccUSA","group",81,"binomial","BGC","auc",TRUE,0.693047337278107
"282","ccUSA","ccUSA","group",82,"binomial","BGC","auc",TRUE,0.697855029585799
"283","ccUSA","ccUSA","group",83,"binomial","BGC","auc",TRUE,0.729289940828402
"284","ccUSA","ccUSA","group",84,"binomial","BGC","auc",TRUE,0.657914201183432
"285","ccUSA","ccUSA","group",85,"binomial","BGC","auc",TRUE,0.697855029585799
"286","ccUSA","ccUSA","group",86,"binomial","BGC","auc",TRUE,0.727440828402367
"287","ccUSA","ccUSA","group",87,"binomial","BGC","auc",TRUE,0.730029585798817
"288","ccUSA","ccUSA","group",88,"binomial","BGC","auc",TRUE,0.674556213017751
"289","ccUSA","ccUSA","group",89,"binomial","BGC","auc",TRUE,0.665310650887574
"290","ccUSA","ccUSA","group",90,"binomial","BGC","auc",TRUE,0.669008875739645
"291","ccUSA","ccUSA","group",91,"binomial","BGC","auc",TRUE,0.684171597633136
"292","ccUSA","ccUSA","group",92,"binomial","BGC","auc",TRUE,0.737056213017751
"293","ccUSA","ccUSA","group",93,"binomial","BGC","auc",TRUE,0.694156804733728
"294","ccUSA","ccUSA","group",94,"binomial","BGC","auc",TRUE,0.72448224852071
"295","ccUSA","ccUSA","group",95,"binomial","BGC","auc",FALSE,0.5
"296","ccUSA","ccUSA","group",96,"binomial","BGC","auc",TRUE,0.720044378698225
"297","ccUSA","ccUSA","group",97,"binomial","BGC","auc",TRUE,0.695636094674556
"298","ccUSA","ccUSA","group",98,"binomial","BGC","auc",TRUE,0.712278106508876
"299","ccUSA","ccUSA","group",99,"binomial","BGC","auc",TRUE,0.715976331360947
"300","ccUSA","ccUSA","group",100,"binomial","BGC","auc",TRUE,0.706360946745562
